,Date,Close
4363,2017-03-07,98.74
4362,2017-03-06,97.67
4361,2017-03-03,98.43
4360,2017-03-02,99.0
4359,2017-03-01,102.79
4358,2017-02-28,101.48
4357,2017-02-27,104.41
4356,2017-02-24,101.46
4355,2017-02-23,100.49
4354,2017-02-22,110.76
4353,2017-02-21,111.07
4352,2017-02-17,107.23
4351,2017-02-16,107.25
4350,2017-02-15,109.0
4349,2017-02-14,108.78
4348,2017-02-13,108.38
4347,2017-02-10,113.62
4346,2017-02-09,116.38
4345,2017-02-08,118.61
4344,2017-02-07,119.13
4343,2017-02-06,117.31
4342,2017-02-03,114.38
4341,2017-02-02,115.39
4340,2017-02-01,113.95
4339,2017-01-31,109.18
4338,2017-01-30,110.02
4337,2017-01-27,111.77
4336,2017-01-26,109.65
4335,2017-01-25,107.79
4334,2017-01-24,107.33
4333,2017-01-23,105.09
4332,2017-01-20,104.01
4331,2017-01-19,105.16
4330,2017-01-18,102.95
4329,2017-01-17,101.11
4328,2017-01-13,103.43
4327,2017-01-12,103.44
4326,2017-01-11,105.16
4325,2017-01-10,106.47
4324,2017-01-09,107.28
4323,2017-01-06,103.1
4322,2017-01-05,101.74
4321,2017-01-04,104.39
4320,2017-01-03,102.01
4319,2016-12-30,106.74
4318,2016-12-29,111.43
4317,2016-12-28,109.25
4316,2016-12-27,117.32
4315,2016-12-23,109.78
4314,2016-12-22,107.11
4313,2016-12-21,105.83
4312,2016-12-20,105.17
4311,2016-12-19,101.63
4310,2016-12-16,100.41
4309,2016-12-15,98.71
4308,2016-12-14,96.45
4307,2016-12-13,91.17
4306,2016-12-12,89.59
4305,2016-12-09,91.82
4304,2016-12-08,93.48
4303,2016-12-07,95.07
